PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2022-10-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,347203,GEHRINGER - PRIVATE RESERVE PINOT GRIS 2021,6.23871E+11,0.75,1,13,18.99,0
2023-07-19 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,362740,PAUILLAC - LES GRIFFONS DE PICHON BARON 2020,3.76031E+12,0.75,1,13,100,NA
2023-01-13 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,409758,QUAILS' GATE - THE QUEUE,7.78856E+11,0.75,1,14.5,55.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,481838,VALPOLICELLA CLASSICO SUPERIORE RIPASSO - FOLONARI,8.00016E+12,0.75,1,13,23.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,745554,SCAPA - THE ORCADIAN SKIREN FIRST FILL,80432110324,0.75,1,40,79.99,NA
2022-10-22 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,39798,MARGAUX - CHATEAU MARGAUX 2019,,0.75,1,13,1600,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,65649,PALM BAY PINEAPPLE MANDARIN ORANGE SPRITZ CAN,7.79469E+11,0.355,6,5,11.97,NA
2023-01-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,83896,CHABLIS - ALBERT BICHOT GRAND CRU LES VAUDESIRS DOMAINE LONG,87113112011,0.75,1,13,145.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,99408,CHARDONNAY - WOODBRIDGE,86003871885,0.75,1,13.5,12.99,0
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,119597,MATTHEW GLOAG - NAKED MALT,8.12066E+11,0.75,1,43,45.99,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,145303,MERLOT - THE WINEMAKER'S HOUSE,7.76546E+11,4,1,12.5,41.99,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,161505,BURROWING OWL MERLOT 2019,6.88229E+11,0.75,1,14.6,35.99,1
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,175612,STROH CANADA - PABST BLUE RIBBON CAN,56910403158,0.355,15,4.9,26.49,NA
2023-10-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,239467,COTES DE GASCOGNE - LES FLEURS DU MAL,8.71755E+12,0.75,1,11.5,17.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,343327,MALBEC - TRAPICHE RESERVE MENDOZA,7.79024E+12,0.75,1,13.5,15.99,1
2022-07-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,344978,ST. HUBERTUS - PINOT BLANC 2021,6.25259E+11,0.75,1,11.5,19.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,352583,CABERNET SAUVIGNON - BERINGER KNIGHTS VALLEY 2020,89819003471,0.75,1,14.1,51.99,0
